timestamp,label,shoulder_pitch,shoulder_roll,shoulder_gyro,upper_arm_pitch,upper_arm_roll,upper_arm_gyro,forearm_pitch,forearm_roll,forearm_gyro,fused_angle
1775129381.3339,rest,-72.484,-24.054,141.357,-14.529,-179.974,18.997,-12.186,15.165,61.933,-72.484
1775129386.9574,rest,-78.785,90.358,147.423,-10.481,-178.872,19.862,-10.417,13.358,63.265,-78.785
1775129388.6201,rest,-73.116,-24.601,147.997,-16.629,179.906,20.03,-11.251,14.465,62.72,-73.116
1775129390.2971,rest,-72.987,-24.946,147.878,-15.049,178.125,19.916,-12.308,14.755,62.605,11.2
1775129391.9284,rest,-73.538,-23.655,148.11,-15.184,178.433,20.031,-13.163,14.983,62.848,11.38
1775129393.4885,rest,-72.506,-24.373,148.075,-14.702,178.214,20.009,-12.452,14.682,63.2,-72.506
1775129395.151,rest,-73.941,-25.688,141.786,-14.919,178.647,19.356,-12.516,15.01,61.935,-73.941
1775129396.8055,rest,-73.217,-26.234,141.681,-14.824,177.37,19.514,-12.607,15.548,62.349,-73.217
1775129398.5504,rest,-73.335,-21.579,141.247,-14.617,179.271,20.933,-12.366,15.548,62.455,-73.335
1775129400.2171,rest,-72.321,-15.024,138.905,-17.965,-178.547,21.506,-12.719,15.112,62.319,-72.321
1775129401.8817,rest,-71.427,-28.364,138.951,-15.562,177.465,21.359,-12.116,16.065,61.997,-71.427
1775129403.6009,rest,-72.287,-25.6,139.539,-14.781,177.861,21.263,-12.622,15.318,62.438,-72.287
1775129405.263,rest,-72.625,-26.544,138.795,-15.297,178.113,21.062,-12.333,14.924,62.456,-72.625
1775129406.9226,rest,-73.26,-28.093,139.242,-15.671,177.451,19.912,-11.756,14.953,62.047,-73.26
1775129408.6518,rest,-72.692,-33.03,141.529,-15.981,178.359,19.846,-11.649,14.909,62.12,17.33
1775129410.2278,rest,-72.101,-28.622,140.85,-15.823,178.588,20.013,-11.892,15.312,62.031,-72.101
1775129411.8988,rest,-72.195,-25.366,140.407,-15.294,178.652,20.163,-12.041,15.485,61.461,-72.195
1775129413.562,rest,-72.434,-25.65,140.469,-15.476,177.773,19.77,-12.201,15.099,61.585,-72.434
1775129415.2899,rest,-72.415,-28.278,140.268,-15.794,177.489,20.832,-11.617,14.985,61.585,-72.415
1775129434.1054,peak_good,-82.546,100.202,148.578,-65.56,-139.635,27.654,75.206,-9.354,62.783,-82.546
1775129435.7696,peak_good,-61.891,-148.453,149.177,-79.161,-94.364,27.737,75.091,-14.828,62.945,83.72
1775129437.346,peak_good,-61.236,-148.419,149.349,-79.61,-93.201,27.65,76.347,-11.144,63.115,80.49
1775129438.9734,peak_good,-62.207,-147.277,149.758,-82.996,-77.484,28.934,71.707,0.696,62.26,80.35
1775129440.5398,peak_good,-61.59,-144.745,150.074,-84.887,-118.194,27.732,73.498,4.205,62.917,77.82
1775129442.1066,peak_good,-59.962,-144.205,141.7,-82.95,-97.951,20.534,75.357,-1.635,61.414,75.77
1775129443.6866,peak_good,-60.487,-146.527,141.674,-84.263,-90.141,20.684,76.417,4.263,61.655,78.36
1775129445.3399,peak_good,-60.145,-147.846,141.008,-83.563,-83.246,21.917,75.008,3.883,61.029,79.42
1775129446.9192,peak_good,-59.613,-147.266,141.045,-82.865,-87.879,21.116,76.191,2.28,61.612,79.74
1775129448.4964,peak_good,-58.664,-146.493,140.53,-83.279,-78.596,21.348,76.338,5.536,61.447,80.85
1775129450.062,peak_good,-60.086,-147.443,140.144,-83.675,-89.361,21.303,75.973,7.236,61.977,82.72
1775129451.7116,peak_good,-59.703,-147.036,139.751,-84.08,-89.174,22.65,74.277,7.972,61.035,85.77
1775129453.2766,peak_good,-60.48,-148.944,139.621,-83.698,-101.949,21.453,74.211,2.351,61.653,84.82
